Emp Code,Status,Title,First Name,Middle Name,Last Name,Designation,Location,Company Name,Business Unit,Function,Grade,Level,Role,Employee Type,Manager,Functional Manager,Gender,DOJ,DOB,Nationality,Marital Status,Blood Group,Company Email,Personal Email,Mobile,Work Phone,Work Phone Ext,Present Address-Street,Present Address-City,Present Address-State,Present Address-Pin,Present Address-Country,Present Address-Phone,Permanent Address-Street,Permanent Address-City,Permanent Address-State,Permanent Address-Pin,Permanent Address-Country,Permanent Address-Phone,Work Location ,Salary Bank Code,Salary IFSC Code,Salary Acc. No,Reim. Bank Code,Reim. IFSC Code,Reim. Acc. No,Pan No.,Aadhar Card No.,,Region,Cost Centre,Process,Sub Bussiness Unit,Sub Function
EM987,Active,Mr.,zzzz,Kr,axax,Manager,New Delhi,FirstP,zaza,zxc,Ms-c,Ms-c,CEO,Regular,2413,2411,Male,01-12-2000,13-06-1975,Indian,Married,O+,monika33@employwise.com,xyz@hotmail.com,9810202159,011-23412222,201,23/12 Main Street,New Delhi,Delhi,110065,India,011 - 6328196,23/12 Main Street,New Delhi,Delhi,110065,India,011-6328196,Gurgaon,SBI001,SB987001,1.11E+11,SBI001,SB987001,1.11E+11,AK8V765F94,JHN267893676,,,,,,
EM988,Active,Mr.,zzzz,Kr,axax,Manager,New Delhi,FirstP,zaza,zxc,Ms-c,Ms-c,CEO,Regular,2413,2411,Male,02-12-2000,14-06-1975,Indian,Married,O+,monika33@employwise.com,xyz@hotmail.com,9810202159,011-23412222,201,23/12 Main Street,New Delhi,Delhi,110065,India,011 - 6328196,23/12 Main Street,New Delhi,Delhi,110065,India,011-6328196,Gurgaon,SBI001,SB987001,1.11E+11,SBI001,SB987001,1.11E+11,AK8V765F94,JHN267893676,,,,,,
EM989,Active,Mr.,zzzz,Kr,axax,Manager,New Delhi,FirstP,zaza,zxc,Ms-c,Ms-c,CEO,Regular,2413,2411,Male,03-12-2000,15-06-1975,Indian,Married,O+,monika33@employwise.com,xyz@hotmail.com,9810202159,011-23412222,201,23/12 Main Street,New Delhi,Delhi,110065,India,011 - 6328196,23/12 Main Street,New Delhi,Delhi,110065,India,011-6328196,Gurgaon,SBI001,SB987001,1.11E+11,SBI001,SB987001,1.11E+11,AK8V765F94,JHN267893676,,,,,,
EM990,Active,Mr.,zzzz,Kr,axax,Manager,New Delhi,FirstP,zaza,zxc,Ms-c,Ms-c,CEO,Regular,2413,2411,Male,04-12-2000,16-06-1975,Indian,Married,O+,monika33@employwise.com,xyz@hotmail.com,9810202159,011-23412222,201,23/12 Main Street,New Delhi,Delhi,110065,India,011 - 6328196,23/12 Main Street,New Delhi,Delhi,110065,India,011-6328196,Gurgaon,SBI001,SB987001,1.11E+11,SBI001,SB987001,1.11E+11,AK8V765F94,JHN267893676,,,,,,
EM991,Active,Mr.,zzzz,Kr,axax,Manager,New Delhi,FirstP,zaza,zxc,Ms-c,Ms-c,CEO,Regular,2413,2411,Male,05-12-2000,17-06-1975,Indian,Married,O+,monika33@employwise.com,xyz@hotmail.com,9810202159,011-23412222,201,23/12 Main Street,New Delhi,Delhi,110065,India,011 - 6328196,23/12 Main Street,New Delhi,Delhi,110065,India,011-6328196,Gurgaon,SBI001,SB987001,1.11E+11,SBI001,SB987001,1.11E+11,AK8V765F94,JHN267893676,,,,,,
EM992,Active,Mr.,zzzz,Kr,axax,Manager,New Delhi,FirstP,zaza,zxc,Ms-c,Ms-c,CEO,Regular,2413,2411,Male,06-12-2000,18-06-1975,Indian,Married,O+,monika33@employwise.com,xyz@hotmail.com,9810202159,011-23412222,201,23/12 Main Street,New Delhi,Delhi,110065,India,011 - 6328196,23/12 Main Street,New Delhi,Delhi,110065,India,011-6328196,Gurgaon,SBI001,SB987001,1.11E+11,SBI001,SB987001,1.11E+11,AK8V765F94,JHN267893676,,,,,,
EM993,Active,Mr.,zzzz,Kr,axax,Manager,New Delhi,FirstP,zaza,zxc,Ms-c,Ms-c,CEO,Regular,2413,2411,Male,07-12-2000,19-06-1975,Indian,Married,O+,monika33@employwise.com,xyz@hotmail.com,9810202159,011-23412222,201,23/12 Main Street,New Delhi,Delhi,110065,India,011 - 6328196,23/12 Main Street,New Delhi,Delhi,110065,India,011-6328196,Gurgaon,SBI001,SB987001,1.11E+11,SBI001,SB987001,1.11E+11,AK8V765F94,JHN267893676,,,,,,
EM994,Active,Mr.,zzzz,Kr,axax,Manager,New Delhi,FirstP,zaza,zxc,Ms-c,Ms-c,CEO,Regular,2413,2411,Male,08-12-2000,20-06-1975,Indian,Married,O+,monika33@employwise.com,xyz@hotmail.com,9810202159,011-23412222,201,23/12 Main Street,New Delhi,Delhi,110065,India,011 - 6328196,23/12 Main Street,New Delhi,Delhi,110065,India,011-6328196,Gurgaon,SBI001,SB987001,1.11E+11,SBI001,SB987001,1.11E+11,AK8V765F94,JHN267893676,,,,,,
EM995,Active,Mr.,zzzz,Kr,axax,Manager,New Delhi,FirstP,zaza,zxc,Ms-c,Ms-c,CEO,Regular,2413,2411,Male,09-12-2000,21-06-1975,Indian,Married,O+,monika33@employwise.com,xyz@hotmail.com,9810202159,011-23412222,201,23/12 Main Street,New Delhi,Delhi,110065,India,011 - 6328196,23/12 Main Street,New Delhi,Delhi,110065,India,011-6328196,Gurgaon,SBI001,SB987001,1.11E+11,SBI001,SB987001,1.11E+11,AK8V765F94,JHN267893676,,,,,,
EM996,Active,Mr.,zzzz,Kr,axax,Manager,New Delhi,FirstP,zaza,zxc,Ms-c,Ms-c,CEO,Regular,2413,2411,Male,10-12-2000,22-06-1975,Indian,Married,O+,monika33@employwise.com,xyz@hotmail.com,9810202159,011-23412222,201,23/12 Main Street,New Delhi,Delhi,110065,India,011 - 6328196,23/12 Main Street,New Delhi,Delhi,110065,India,011-6328196,Gurgaon,SBI001,SB987001,1.11E+11,SBI001,SB987001,1.11E+11,AK8V765F94,JHN267893676,,,,,,
EM997,Active,Mr.,zzzz,Kr,axax,Manager,New Delhi,FirstP,zaza,zxc,Ms-c,Ms-c,CEO,Regular,2413,2411,Male,11-12-2000,23-06-1975,Indian,Married,O+,monika33@employwise.com,xyz@hotmail.com,9810202159,011-23412222,201,23/12 Main Street,New Delhi,Delhi,110065,India,011 - 6328196,23/12 Main Street,New Delhi,Delhi,110065,India,011-6328196,Gurgaon,SBI001,SB987001,1.11E+11,SBI001,SB987001,1.11E+11,AK8V765F94,JHN267893676,,,,,,
